Subcode,Branch code,Eff_from,SubjectName,Category,Sem /Year,L.,T.,P.,TW/SL,Total,E,M,I,V,Total.1,gtuSyllabusURL
310007,9,Aug-11, Business Communication I,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310007.pdf
310008,9,Aug-11, Business Mathematics,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310008.pdf
310009,9,Aug-11, Business Organization And Management,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310009.pdf
310010,9,Aug-11, Ceramic Materials,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310010.pdf
310011,9,Aug-11, Clothing Construction - I,,1,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310011.pdf
310012,9,Aug-11, Colour,,1,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310012.pdf
310014,9,Aug-11, Communication Skills - I,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310014.pdf
310015,9,Aug-11, Communication Skills,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310015.pdf
310018,9,Aug-11, Computer Applications,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310018.pdf
310019,9,Aug-11, Computer - I,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310019.pdf
310020,9,Aug-11, Cooking Methods,,1,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310020.pdf
310021,9,Aug-11, Drawing & Painting - I,,1,0,0,6,,6,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310021.pdf
310022,9,Aug-11, Drawing Sketching & Painting - I,,1,2,0,8,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310022.pdf
310023,9,Aug-11, Electronic Materials & Components,,1,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310023.pdf
310024,9,Aug-11, Elementary Clothing & Textiles,,1,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310024.pdf
310025,9,Aug-11, Elementary Home Management,,1,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310025.pdf
310026,9,Aug-11, Elements of Textile Processing,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310026.pdf
310027,9,Aug-11, Elements of Textile Technology,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310027.pdf
310029,9,Aug-11, Engineering Drawing,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310029.pdf
310030,9,Aug-11, Engineering Mechanics,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310030.pdf
310031,9,Aug-11, Essentials of Environment and Seismic Engineering,,1,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310031.pdf
310032,9,Aug-11, First Aid & Home Nursing,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310032.pdf
310033,9,Aug-11, Fundamental of Electronics,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310033.pdf
310034,9,Aug-11, Mathematics - I,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310034.pdf
310035,9,Aug-11, Personality Development & Communication Skills,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310035.pdf
310036,9,Aug-11, Physical Analytical and Inorganic Chemistry,,1,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310036.pdf
310037,9,Aug-11, Principles And Practice of Accounting,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310037.pdf
310038,9,Aug-11, Principles of Economics I,,1,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310038.pdf
310039,9,Aug-11, Textile Science,,1,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310039.pdf
310041,9,Aug-11, Engineering Measurements - I,,1,0,0,2,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310041.pdf
310042,9,Aug-11, Office Automation,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310042.pdf
310043,9,Aug-11, Building Drawing,,1,0,0,6,,3,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310043.pdf
310044,9,Aug-11, Model Making,,1,0,0,4,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310044.pdf
310045,9,Aug-11, Object Drawing,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310045.pdf
310046,9,Aug-11, Sketching And Drawing,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310046.pdf
310047,9,Aug-11, Computer Application - I,,1,1,0,6,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310047.pdf
310048,9,Aug-11, Arts And Crafts,,1,0,0,6,,3,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310048.pdf
310049,9,Aug-11, Workshop,,1,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310049.pdf
320016,9,Aug-11, Programming In C,,1,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320016.pdf
3300001,9,Sep-12, Basic Mathematics,,1,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300001.pdf
3300002,9,Sep-12, English,,1,3,2,0,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300002.pdf
3300003,9,Sep-12, Environment Conservation And Hazard Management,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300003.pdf
3300006,9,Sep-12, ENGINEERING CHEMISTRY ( GROUP-2 ),,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300006.pdf
3300013,9,Sep-12, Basic Of Computer & Information Technology,,1,0,0,4,,4,0,0,60,40,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300013.pdf
3300015,9,Sep-12, Fundamental Of Mechanical Engineering,,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300015.pdf
4300001,9,Sep-21, Mathematics,Basic Sciences,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300001.pdf
4300002,9,Sep-21, Communication Skills in English,Humanities & Social Sciences,1,2,0,2,,3,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300002.pdf
4300006,9,Sep-21, Engineering Chemistry,Basic Sciences,1,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300006.pdf
4300010,9,Sep-21, Basics of Information and Communication Technology,Engineering Sciences,1,0,0,4,,2,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300010.pdf
4300015,9,Sep-21, Sports and Yoga,Audit,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300015.pdf
4300017,9,Sep-21, Basics of Mechanical Engineering,Engineering Sciences,1,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300017.pdf
4310002,9,Sep-22, Induction Program,Mandatory,1,0,0,0,,0,0,0,0,0,0,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4310002.pdf
4310901,9,Sep-21, D.C. Circuits,Program core,1,3,1,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4310901.pdf
C300001,9,07/01/13, Basic Mathematics,,1,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300001.pdf
C300002,9,07/01/13, English,,1,3,2,0,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300002.pdf
C300003,9,07/01/13, Environment Conservation & Hazard Management,,1,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300003.pdf
C300006,9,07/01/13, ENGINEERING CHEMISTRY ( GROUP-2 ),,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300006.pdf
C300015,9,07/01/13, Fundamental Of Mechanical Engineering,,1,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300015.pdf
C4300001,9,Aug-22, Mathematics,Basic Sciences,1,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300001.pdf
C4300002,9,Aug-22, Communication Skills in English,Humanities & Social Sciences,1,2,0,2,,3,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300002.pdf
C4300006,9,Aug-22, Engineering Chemistry,Basic Sciences,1,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300006.pdf
C4300010,9,Aug-22, Basics of Information and Communication Technology,Engineering Sciences,1,0,0,4,,2,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300010.pdf
C4300015,9,Aug-22, Sports and Yoga,Audit,1,0,0,2,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300015.pdf
C4300017,9,Aug-22, Basics of Mechanical Engineering,Engineering Sciences,1,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300017.pdf
C4310901,9,Aug-22, D.C. Circuits,Program core,1,3,1,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4310901.pdf
1990001,9,Sep-12, Contributor Personality Development,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990001.pdf
1990001,9,Sep-12, Contributor Personality Development,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990001.pdf
1990002,9,2021, Integrated Personality Development Course,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990002.pdf
1990002,9,2021, Integrated Personality Development Course,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/1990002.pdf
310049,9,Aug-11, Workshop,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/310049.pdf
320001,9,Aug-11, Mathematics-II,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320001.pdf
320002,9,Aug-11, Applied Science - II (CHEMISTRY),Compulsory,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320002.pdf
320003,9,Aug-11, Elements of Mechanical Engineering,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320003.pdf
320004,9,Aug-11, Fundamentals of Electrical Engineering,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320004.pdf
320005,9,Aug-11, Non Conventional Energy Sources,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320005.pdf
320006,9,Aug-11, Civil Engg. Drawing,Compulsory,2,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320006.pdf
320007,9,Aug-11, Elements of Civil Engineering,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320007.pdf
320008,9,Aug-11, Mechanical Drafting,Compulsory,2,2,0,6,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320008.pdf
320009,9,Aug-11, Electrical Circuit,Compulsory,2,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320009.pdf
320010,9,Aug-11, Theory of Machine & Strength of Material,Compulsory,2,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320010.pdf
320011,9,Aug-11, Organic Chemistry,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320011.pdf
320012,9,Aug-11, Chemical Engineering Material,Compulsory,2,2,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320012.pdf
320013,9,Aug-11, Mechanical Operation (CEO- I),Compulsory,2,3,0,4,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320013.pdf
320014,9,Aug-11, Text Generation - I,Compulsory,2,2,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320014.pdf
320015,9,Aug-11, Mechanical Structure & Piping Drafting,Compulsory,2,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320015.pdf
320016,9,Aug-11, Programming In C,Compulsory,2,2,0,4,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320016.pdf
320017,9,Aug-11, Electronic Devices And Circuits - I,Compulsory,2,3,0,4,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320017.pdf
320018,9,Aug-11, Ceramic Art,Compulsory,2,1,0,4,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320018.pdf
320019,9,Aug-11, Elements of Electrical & Mechanical For Textile,Compulsory,2,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320019.pdf
320021,9,Aug-11, Fiber Technology,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320021.pdf
320022,9,Aug-11, Fiber Science,Compulsory,2,4,0,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320022.pdf
320023,9,Aug-11, Introduction To Mining & Geology,Compulsory,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320023.pdf
320024,9,Aug-11, Communication Skills - II,Compulsory,2,4,0,0,,2,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320024.pdf
320027,9,Aug-11, Textile Process - I,Compulsory,2,3,0,2,,5,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320027.pdf
320038,9,Aug-11, Composition,Compulsory,2,1,0,6,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320038.pdf
320042,9,Aug-11, Business Communication II,Compulsory,2,3,0,2,,4,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320042.pdf
320056,9,Aug-11, Engineering Measurement - II,Compulsory,2,0,0,2,,2,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320056.pdf
320057,9,Aug-11, Computer Application,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320057.pdf
320058,9,Aug-11, Electronic Practices,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320058.pdf
320059,9,Aug-11, Mechatronics Work-shop,Compulsory,2,0,0,4,,4,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/320059.pdf
3300005,9,Sep-12, BASIC PHYSICS (GROUP-2),Compulsory,2,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300005.pdf
3300007,9,Sep-12, Basic Engineering Drawing,Compulsory,2,2,0,4,,6,70,30,60,40,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3300007.pdf
3320002,9,Sep-12, ADVANCED MATHEMATICS (GROUP-1),Compulsory,2,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320002.pdf
3320004,9,Sep-12, Basic Of Civil Engineering,Compulsory,2,0,1,2,,3,0,0,30,20,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320004.pdf
3320902,9,Sep-12, Electrical Engineering Workshop Practice,Compulsory,2,0,0,4,,4,0,0,60,40,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320902.pdf
3320903,9,Sep-12, D.c.circuits,Compulsory,2,2,2,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3320903.pdf
3990001,9,Sep-12, Contributor Personality Development,Elective,2,4,0,0,,4,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3990001.pdf
4300003,9,Feb-22, Environment and Sustainability,General Science,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300003.pdf
4300005,9,Feb-22, Physics,Basic Sciences,2,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300005.pdf
4300013,9,Feb-22, Basic Engineering Drawing and Graphics,Engineering Sciences,2,2,0,4,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300013.pdf
4300016,9,Feb-22, Indian Constitution,Audit,2,2,0,0,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4300016.pdf
4310001,9,Feb-22, Basics of Civil Engineering,Engineering Sciences,2,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4310001.pdf
4320002,9,Feb-22, Engineering Mathematics,Basic Sciences,2,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4320002.pdf
4320901,9,Feb-22, A.C. Circuits,Program Core,2,3,1,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4320901.pdf
C300005,9,07/01/13, BASIC PHYSICS (GROUP-2),Compulsory,2,3,0,2,,5,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C300005.pdf
C320002,9,07/01/13, ADVANCED MATHEMATICS (GROUP-1),Compulsory,2,2,2,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C320002.pdf
C320004,9,07/01/13, Basic Of Civil Engineering,Compulsory,2,0,1,2,,3,0,0,30,20,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C320004.pdf
C320903,9,07/01/13, D.c.circuits,Compulsory,2,2,2,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C320903.pdf
C4300003,9,Aug-22, Environment and Sustainability,General Science,2,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300003.pdf
C4300005,9,Aug-22, Physics,Basic Sciences,2,3,0,2,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300005.pdf
C4300013,9,Aug-22, Basic Engineering Drawing and Graphics,Engineering Sciences,2,2,0,4,,4,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300013.pdf
C4300016,9,Aug-22, Indian Constitution,Audit,2,2,0,0,,0,0,0,50,0,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4300016.pdf
C4310001,9,Aug-22, Basics of Civil Engineering,Engineering Sciences,2,0,2,2,,3,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4310001.pdf
C4320002,9,Aug-22, Engineering Mathematics,Basic Sciences,2,3,1,0,,4,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4320002.pdf
C4320901,9,Aug-22, A.C. Circuits,Program Core,2,3,1,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/C4320901.pdf
330901,9,Aug-11, Computer Aided Electrical Drawing & Drafting,,3,0,3,40,,5,0,0,100,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/330901.pdf
330902,9,Aug-11, Basic Electronics,,3,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/330902.pdf
330903,9,Aug-11, Electrical Machine - I,,3,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/330903.pdf
330904,9,Aug-11, Generation & Transmission of Electrical Power,,3,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/330904.pdf
3330901,9,Sep-12, Ac Circuits,,3,3,2,2,,7,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3330901.pdf
3330902,9,Sep-12, D C Machines And Transformer,,3,4,0,4,,8,70,30,60,40,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3330902.pdf
3330903,9,Sep-12, Electrical Instrumentation,,3,4,0,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3330903.pdf
3330904,9,Sep-12, Electrical Power Generation,,3,4,2,0,,6,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3330904.pdf
3330905,9,Sep-12, Electronics Components And Circuits,,3,4,0,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3330905.pdf
4330001,9,Aug-22, Summer Internship-I,Summer Internship-1(2 Weeks) after sem-2,3,0,0,2,,1,0,0,25,25,50,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330001.pdf
4330901,9,Aug-22, D. C. Machines And Transformer,Program Core,3,4,0,4,,6,70,30,50,50,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330901.pdf
4330902,9,Aug-22, Electrical Instrumentation,Program Core,3,4,0,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330902.pdf
4330903,9,Aug-22, Electrical Power Generation and Transmission,Program Core,3,4,0,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330903.pdf
4330904,9,Aug-22, Fundamentals Of Electronics,Program Core,3,4,0,2,,5,70,30,25,25,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330904.pdf
4330905,9,Aug-22, Electrical Engineering Workshop Practice,Program Core,3,0,0,2,,1,0,0,50,50,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/4330905.pdf
3340901,9,Sep-12, Polyphase Transformers And Rotating Ac Machines,Compulsory,4,4,0,4,,8,70,30,60,40,200,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3340901.pdf
3340902,9,Sep-12, Transmission And Distribution Of Electrical Power,Compulsory,4,4,0,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3340902.pdf
3340903,9,Sep-12, Utilization Of Electrical Energy,Compulsory,4,4,0,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3340903.pdf
3340904,9,Sep-12, Digital Electronics And Digital Instruments,Compulsory,4,4,0,2,,6,70,30,30,20,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3340904.pdf
3340905,9,Sep-12, Computer Aided Electrical Drawing And Simulation,Compulsory,4,0,0,4,,4,0,0,60,40,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/3340905.pdf
340001,9,2011-12, Entrepreneurship Development,Compulsory,4,3,0,0,,3,70,30,0,0,100,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/340001.pdf
340901,9,Aug-11, Fundamental of Electronics Circuits,Compulsory,4,3,0,4,,7,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/340901.pdf
340902,9,Aug-11, Electrical Machines - II,Compulsory,4,4,0,4,,8,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/340902.pdf
340903,9,Aug-11, Electrical Instrumentation,Compulsory,4,4,0,2,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/340903.pdf
340904,9,Aug-11, A. C. Distribution & Utilization,Compulsory,4,4,2,0,,6,70,30,50,0,150,https://s3-ap-southeast-1.amazonaws.com/gtusitecirculars/Syallbus/340904.pdf
